Date,Condition,Block,Bin Selected,Bin hit
1118201992912AM,B2,primary_target_block,BinHit,untaggedBin
1118201992921AM,B2,primary_target_block,BinHit,primaryBin
1118201992926AM,PrimaryBinInvert,TargetSyllable=ba,,
1118201992927AM,B2,primary_target_block,BinHit,untaggedBin
1118201992928AM,SecondaryTaskStart,Strategy=1,,
1118201992937AM,B2,primary_target_block,BinHit,untaggedBin
1118201992943AM,B2,secondary_target_block,BinHit,secondaryBin
1118201992946AM,PrimaryBinInvert,TargetSyllable=ba,,
1118201992951AM,SecondaryTaskStart,Strategy=1,,
1118201992953AM,B2,primary_target_block,BinHit,primaryBin
1118201992956AM,PrimaryBinInvert,TargetSyllable=ba,,
1118201993000AM,B2,secondary_target_block,BinHit,secondaryBin
1118201993008AM,B2,primary_target_block,BinHit,untaggedBin
1118201993013AM,SecondaryTaskStart,Strategy=1,,
1118201993017AM,B2,primary_target_block,BinHit,secondaryBin
1118201993022AM,B2,secondary_target_block,BinHit,secondaryBin
,,,,
,,,,
,,,,
1118201993233AM,B3,primary_target_block,BinHit,untaggedBin
1118201993245AM,B3,primary_target_block,BinHit,untaggedBin
1118201993249AM,PrimaryBinInvert,TargetSyllable=ba,,
1118201993251AM,SecondaryTaskStart,Strategy=2,,
1118201993254AM,B3,primary_target_block,BinHit,secondaryBin
1118201993300AM,B3,secondary_target_block,BinHit,secondaryBin
1118201993309AM,PrimaryBinInvert,TargetSyllable=ba,,
1118201993312AM,B3,primary_target_block,BinHit,untaggedBin
1118201993314AM,SecondaryTaskStart,Strategy=2,,
1118201993318AM,B3,primary_target_block,BinHit,primaryBin
1118201993319AM,PrimaryBinInvert,TargetSyllable=ba,,
1118201993322AM,B3,secondary_target_block,BinHit,secondaryBin
1118201993327AM,B3,primary_target_block,BinHit,untaggedBin
1118201993335AM,B3,primary_target_block,BinHit,untaggedBin
1118201993336AM,SecondaryTaskStart,Strategy=2,,
1118201993341AM,B3,secondary_target_block,BinHit,secondaryBin
1118201993352AM,B3,primary_target_block,BinHit,untaggedBin
1118201993357AM,B3,primary_target_block,BinHit,untaggedBin
,,,,
1118201993546AM,B1,primary_target_block,BinHit,untaggedBin
1118201993555AM,B1,primary_target_block,BinHit,primaryBin
1118201993557AM,SecondaryTaskStart,Strategy=0,,
1118201993602AM,B1,secondary_target_block,BinHit,secondaryBin
1118201993604AM,PrimaryBinInvert,TargetSyllable=to,,
1118201993611AM,B1,primary_target_block,BinHit,primaryBin
1118201993614AM,PrimaryBinInvert,TargetSyllable=to,,
1118201993615AM,B1,primary_target_block,BinHit,untaggedBin
1118201993619AM,SecondaryTaskStart,Strategy=0,,
1118201993625AM,PrimaryBinInvert,TargetSyllable=to,,
1118201993627AM,B1,primary_target_block,BinHit,secondaryBin
1118201993633AM,B1,primary_target_block,BinHit,untaggedBin
1118201993642AM,SecondaryTaskStart,Strategy=0,,
1118201993643AM,B1,primary_target_block,BinHit,untaggedBin
1118201993648AM,B1,secondary_target_block,BinHit,secondaryBin
1118201993653AM,B1,primary_target_block,BinHit,untaggedBin
1118201993659AM,B1,primary_target_block,BinHit,untaggedBin
